frame_idx,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,label
24,438.4066,217.4286,2019.0,532.5967,128.7384,2067.0,643.7264,111.3684,1996.0,573.5434,-63.8931,1913.0,429.3052,54.985,1948.0,381.7503,149.5524,2031.0,347.3971,-16.8186,2257.0,283.9108,-46.4886,2276.0,605.2808,-184.2978,2008.0,596.1843,-265.9638,1916.0,-1.0,-1.0,-1.0,456.8636,-169.224,2104.0,309.6428,-231.9361,2055.0,273.6738,-553.1003,2011.0,466.4193,245.9584,1985.0,422.0238,266.1753,2067.0,546.6899,258.5776,2008.0,-1.0,-1.0,-1.0,2
25,420.47,211.7147,1996.0,539.7824,129.79,2031.0,621.5747,113.5145,1977.0,568.3696,-73.736,1927.0,436.4591,65.058,1966.0,444.8952,137.8144,2004.0,407.8303,-28.7555,2063.0,358.309,-110.009,2147.0,617.0693,-180.6807,2004.0,591.1547,-267.9072,1930.0,-1.0,-1.0,-1.0,497.1581,-152.2481,2059.0,310.8483,-229.4934,2063.0,276.3955,-552.0136,2031.0,451.7036,240.049,1963.0,402.2951,258.7543,2035.0,536.9516,257.0324,1996.0,-1.0,-1.0,-1.0,2
26,404.465,206.911,1981.0,533.9924,126.8504,1985.0,619.3739,109.9177,1970.0,565.0392,-77.2599,1937.0,436.4591,58.6814,1966.0,454.2348,132.55,1974.0,427.7668,-59.4073,1970.0,373.4359,-123.186,2134.0,626.2908,-169.9074,1992.0,590.2358,-276.866,1927.0,-1.0,-1.0,-1.0,497.8641,-141.9641,2008.0,310.2455,-229.0484,2059.0,274.7625,-545.4778,2019.0,430.021,230.5869,1937.0,393.7024,252.0648,2008.0,519.3203,243.6042,1966.0,-1.0,-1.0,-1.0,2
27,388.6546,202.156,1966.0,517.538,127.5533,1996.0,609.5642,109.304,1959.0,548.735,-94.9169,1913.0,423.7957,63.6351,1923.0,379.1656,144.0262,2000.0,273.4417,-31.7941,2281.0,-1.0,-1.0,-1.0,638.2446,-166.4258,1989.0,612.1021,-264.3656,1927.0,376.0548,-335.5802,1365.0,483.0342,-139.5604,1974.0,307.232,-230.1303,2039.0,270.4139,-562.8842,2011.0,418.3232,227.9153,1941.0,374.2364,241.3941,1974.0,504.7687,239.5598,1959.0,-1.0,-1.0,-1.0,2
28,383.8362,202.9786,1974.0,516.4774,127.2436,2043.0,634.0196,114.6054,1996.0,554.9371,-94.9169,1913.0,420.0221,60.4221,1920.0,363.8113,142.9721,2079.0,302.8205,-38.6941,2252.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,415.8514,230.0289,1959.0,372.3522,242.2501,1981.0,507.6031,244.0998,1970.0,-1.0,-1.0,-1.0,2
29,397.4277,208.4283,2027.0,514.4549,126.7453,2035.0,618.3699,110.3083,1977.0,558.9984,-101.8616,1927.0,375.6643,-79.5295,1916.0,379.5607,159.714,2169.0,295.4058,29.9986,2498.0,244.4802,-21.0686,2322.0,631.1891,-197.4834,1977.0,547.7975,-408.3484,1899.0,-1.0,-1.0,-1.0,437.8528,-145.8394,1930.0,297.549,-245.7014,2087.0,178.0036,-400.0523,1308.0,427.7668,234.5154,1970.0,383.526,250.667,2023.0,512.1636,246.4159,1963.0,-1.0,-1.0,-1.0,2
30,417.0527,221.7362,2059.0,530.7617,127.4927,2047.0,622.1233,114.2035,1989.0,574.5636,-106.1308,1948.0,384.5031,-121.7387,1945.0,388.1969,170.9731,2178.0,333.3122,46.9798,2540.0,265.0014,-32.5747,2337.0,635.0203,-192.2308,1989.0,571.3191,-287.7266,1937.0,-1.0,-1.0,-1.0,463.841,-130.4595,1934.0,299.6491,-235.2688,2055.0,178.0348,-396.3572,1324.0,447.3373,246.4079,2015.0,419.1911,275.3182,2138.0,521.1214,262.0541,1985.0,-1.0,-1.0,-1.0,2
31,432.8987,221.3054,2055.0,537.2108,131.5793,2059.0,628.5718,110.9778,1989.0,576.6282,-103.3417,1955.0,383.7124,-121.4884,1941.0,390.514,171.9936,2191.0,340.7484,36.4535,2390.0,-1.0,-1.0,-1.0,638.5322,-173.8332,2000.0,575.4388,-271.1839,1909.0,-1.0,-1.0,-1.0,453.4959,-123.9298,1930.0,301.3989,-236.6426,2067.0,175.6228,-391.4706,1322.0,466.8005,253.1451,2043.0,432.3013,282.8277,2169.0,533.716,263.5063,1996.0,-1.0,-1.0,-1.0,2
32,440.4168,221.7362,2059.0,541.5987,131.8349,2063.0,635.2901,108.3481,2000.0,576.6282,-103.3417,1955.0,383.7124,-121.4884,1941.0,400.158,173.0926,2205.0,342.9795,31.3644,2301.0,285.7819,-46.795,2291.0,637.2552,-167.0116,1996.0,587.1121,-283.1161,1927.0,-1.0,-1.0,-1.0,454.4357,-124.1867,1934.0,301.5088,-235.9992,2091.0,177.7659,-391.4706,1322.0,475.3482,253.9477,2023.0,422.7569,270.9399,2104.0,555.1298,269.183,2039.0,-1.0,-1.0,-1.0,2
33,433.5721,218.2901,2027.0,538.2545,131.8349,2063.0,635.9781,114.3757,1992.0,582.9665,-100.1712,1955.0,382.9216,-121.238,1937.0,395.6844,172.7001,2200.0,340.7437,27.4527,2286.0,309.7372,-9.578,2276.0,632.749,-166.6769,1992.0,591.1547,-296.0766,1930.0,-1.0,-1.0,-1.0,440.9814,-120.7999,1930.0,296.8946,-242.405,2059.0,177.7659,-389.3267,1322.0,472.5286,252.4414,2011.0,423.5344,269.2659,2091.0,550.7737,267.0708,2023.0,-1.0,-1.0,-1.0,2
34,437.72,218.7209,2031.0,536.1672,127.991,2055.0,635.0203,110.9778,1989.0,576.8316,-105.9674,1945.0,376.6417,-121.238,1937.0,399.2507,172.7001,2200.0,316.5417,60.0616,2571.0,-1.0,-1.0,-1.0,634.0196,-183.1964,1996.0,590.2358,-270.6158,1927.0,-1.0,-1.0,-1.0,443.4197,-123.7372,1927.0,299.2017,-251.0189,2075.0,180.4532,-390.5047,1326.0,467.3592,249.6797,1989.0,418.6731,269.5274,2067.0,545.6008,264.5624,2004.0,-1.0,-1.0,-1.0,2
35,429.508,216.244,2008.0,545.0978,131.068,2051.0,625.4423,112.4809,1959.0,576.8316,-105.9674,1945.0,374.2364,-117.1513,1974.0,506.77,139.0633,2071.0,440.4755,-15.4624,2075.0,358.9765,-82.3072,2151.0,628.5718,-189.0052,1989.0,589.2448,-265.326,1934.0,-1.0,-1.0,-1.0,454.4357,-133.596,1934.0,299.2017,-247.6538,2075.0,180.4532,-390.5047,1326.0,453.5482,249.1776,1985.0,414.5187,265.6602,2063.0,536.9516,263.5063,1996.0,-1.0,-1.0,-1.0,2
36,425.4038,212.5632,2004.0,528.9973,125.4997,2015.0,619.6955,114.5952,1941.0,579.9846,-109.1217,1945.0,372.465,-115.6082,1948.0,422.7569,137.8671,2104.0,335.8531,-9.1824,2182.0,288.6435,-74.2799,2121.0,620.3552,-186.5346,1963.0,596.4833,-254.9904,1927.0,-1.0,-1.0,-1.0,412.1822,-139.3626,1927.0,302.5654,-251.0189,2075.0,178.0348,-389.9157,1324.0,452.6343,248.6754,1981.0,404.8741,259.4791,2015.0,527.8334,260.6019,1974.0,-1.0,-1.0,-1.0,2
37,403.0358,206.1799,1974.0,534.3769,122.7172,2023.0,627.9843,103.896,1977.0,565.0902,-112.4491,1948.0,361.8658,-116.2611,1959.0,393.2681,142.9579,2129.0,283.9149,5.2546,2306.0,266.1353,-63.1637,2347.0,624.0899,-198.2825,1985.0,587.1121,-261.2406,1927.0,-1.0,-1.0,-1.0,424.6161,-137.2273,1941.0,302.5654,-247.6538,2075.0,175.8885,-392.0628,1324.0,431.797,241.0021,1945.0,387.6244,251.3795,1977.0,522.1715,259.3566,1989.0,-1.0,-1.0,-1.0,2
38,406.7226,199.9618,2008.0,533.0363,123.9304,2043.0,628.5718,104.5266,1989.0,544.2256,-111.4101,1930.0,352.9739,-118.5845,1945.0,390.3583,154.9002,2151.0,300.941,20.3537,2322.0,275.8392,-50.7309,2301.0,620.6315,-197.1837,1974.0,581.8669,-263.4053,1920.0,-1.0,-1.0,-1.0,435.5841,-138.8563,1920.0,299.7785,-251.5028,2079.0,174.1359,-395.1032,1327.0,428.6682,243.2284,1989.0,381.6428,253.7954,1996.0,511.6476,262.2253,2011.0,-1.0,-1.0,-1.0,2
39,398.9962,215.8514,2035.0,535.1236,127.7419,2051.0,621.0772,104.8945,1996.0,537.1321,-111.2369,1927.0,345.8733,-112.1068,1889.0,391.7275,163.9088,2178.0,313.2516,24.4933,2358.0,262.051,-40.8763,2379.0,626.2908,-186.0598,1992.0,588.0261,-261.6473,1930.0,-1.0,-1.0,-1.0,442.4993,-135.9547,1923.0,304.7496,-239.9947,2067.0,173.7423,-396.3572,1324.0,415.4903,252.1539,2035.0,384.7577,260.2801,2047.0,469.004,263.5063,1996.0,-1.0,-1.0,-1.0,2
40,381.1029,219.3403,2100.0,536.9846,125.6289,2071.0,631.5068,102.8289,2019.0,548.4886,-105.3681,1934.0,359.6375,-108.2801,1930.0,404.9183,160.0085,2173.0,331.7895,23.9012,2301.0,271.205,-36.6914,2358.0,619.8325,-179.5988,1992.0,563.1893,-414.5077,1899.0,-1.0,-1.0,-1.0,450.7146,-137.5101,1945.0,302.5654,-247.6538,2075.0,173.3486,-391.1745,1321.0,397.5127,247.4911,2079.0,-1.0,-1.0,-1.0,457.1365,252.9435,2015.0,-1.0,-1.0,-1.0,2
41,384.0322,190.1742,2079.0,546.1609,124.6583,2055.0,632.7579,99.7519,2023.0,561.8992,-108.6728,1937.0,376.3218,-104.9275,1985.0,478.6819,144.0724,2095.0,458.1754,-22.2353,2079.0,371.5968,-42.9754,2104.0,618.899,-179.3283,1989.0,580.8646,-323.7421,1927.0,-1.0,-1.0,-1.0,468.6907,-143.2679,1981.0,306.5188,-238.0164,2079.0,173.763,-376.7188,1308.0,397.253,223.3263,2043.0,384.0322,196.9174,2079.0,474.351,250.3211,2047.0,-1.0,-1.0,-1.0,2
42,393.7798,191.6378,2095.0,540.5486,128.2401,2059.0,626.1991,103.0326,2023.0,566.206,-96.3061,1941.0,387.7708,-109.5632,2011.0,427.7879,155.5168,2112.0,389.8169,-8.9594,2129.0,316.5589,-39.0378,2272.0,629.5199,-169.9074,1992.0,590.3525,-305.1562,1948.0,-1.0,-1.0,-1.0,464.0409,-137.7222,1948.0,306.9078,-239.0659,2059.0,174.5386,-369.6287,1298.0,406.0546,216.3113,2071.0,386.2488,204.8361,2091.0,478.6027,250.8102,2051.0,-1.0,-1.0,-1.0,2
43,380.694,196.8208,2043.0,547.0561,132.3461,2071.0,620.3179,102.0649,2004.0,568.1791,-89.8251,1937.0,374.1721,-83.3483,2008.0,431.2313,153.3159,2129.0,366.1706,8.4755,2173.0,327.6079,-39.0378,2272.0,627.5484,-170.2485,1996.0,589.9725,-284.6072,1916.0,349.9309,-340.9451,1293.0,469.6371,-143.5572,1985.0,308.1003,-233.2905,2067.0,177.051,-370.483,1301.0,400.3641,221.7362,2059.0,380.3378,211.7188,2059.0,463.6693,249.6757,2015.0,-1.0,-1.0,-1.0,2
44,399.3403,192.801,2071.0,538.2545,128.4893,2063.0,624.1515,113.0981,2027.0,569.2544,-80.1106,1930.0,412.4096,11.0663,2004.0,403.5538,154.6122,2147.0,280.832,28.5859,2752.0,237.908,-44.5463,2369.0,632.2644,-171.528,2011.0,594.2833,-286.6868,1930.0,362.0926,-339.6405,1346.0,486.1986,-151.9523,2055.0,305.7154,-231.4847,2051.0,177.4593,-373.452,1304.0,412.1915,222.4518,2035.0,377.3823,216.7,2043.0,479.0484,249.1801,2011.0,-1.0,-1.0,-1.0,2
45,376.3218,200.8905,1985.0,508.5255,127.7419,2051.0,574.4591,123.7829,1937.0,544.0362,-68.339,1865.0,418.4297,45.017,1927.0,349.9868,137.5393,2000.0,249.2681,20.7457,2904.0,-1.0,-1.0,-1.0,633.522,-168.6013,2015.0,597.4289,-278.9739,1920.0,-1.0,-1.0,-1.0,481.907,-143.0246,2023.0,304.1598,-242.8759,2063.0,176.0178,-379.1297,1309.0,398.8462,236.301,1985.0,365.2886,241.777,2031.0,477.7515,256.5173,1992.0,-1.0,-1.0,-1.0,2
46,362.7183,200.4857,1981.0,505.5502,130.3012,2039.0,596.3851,127.8089,2000.0,544.5181,-76.5818,1920.0,418.1714,64.694,1955.0,355.8781,148.3742,2015.0,239.853,25.4552,2904.0,41.59,20.5773,1981.0,633.3122,-164.431,2004.0,585.9477,-364.8233,1913.0,-1.0,-1.0,-1.0,473.186,-144.642,2000.0,305.3393,-243.8178,2071.0,173.763,-376.7188,1308.0,390.4464,230.0289,1959.0,354.6418,239.039,2008.0,474.1539,244.9672,1977.0,-1.0,-1.0,-1.0,2
